ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"74.143.86.243","anonymous","AS10796","US","Spectrum","118","Holiday INN","3128","https","836","496","2023-01-18T05:08:58.370Z","84","698","832"
"175.138.229.109","anonymous","AS4788","MY","Tmnet, Telekom Malaysia Bhd.","156","Adsl Streamyx","3128","https","496","967","2023-01-18T05:08:57.645Z","100","822","826"
"139.255.67.51","anonymous","AS9905","ID","PT. LINKNET","174","N/A","3888","https","1394","478","2023-01-18T05:08:33.254Z","99","830","836"
"51.38.93.100","anonymous","AS16276","GB","OVH SAS","8","LTD REGXA","3128","https","1206","886","2023-01-18T05:07:28.930Z","100","858","858"
"103.245.164.79","anonymous","AS56309","TH","Siamdata Communication Co.","173","Siamdata (Lao) Co., Ltd","3128","https","1346","371","2023-01-18T05:07:26.681Z","99","792","800"
"176.9.220.108","elite","AS24940","DE","Hetzner Online GmbH","16","N/A","8080","https","1294","2394","2023-01-18T05:07:12.180Z","92","775","840"
"189.90.118.238","anonymous","AS262808","BR","Brasilnet Telecomunicações Ltda ME","207","Brasilnet Telecomunicações Ltda ME","3128","https","1366","379","2023-01-18T05:06:57.244Z","100","840","842"
"82.114.99.202","anonymous","AS21353","RU","Tehdilinvest Company","44","ArtCommunications Ltd.","1256","https","1439","683","2023-01-18T05:06:33.930Z","100","802","806"
"181.189.246.100","anonymous","AS27696","HN","Columbus Networks de Honduras S. de R.L.","141","Columbus Networks de Honduras S. de R.L","999","https","1551","5163","2023-01-18T05:06:05.695Z","98","789","806"
"68.183.238.150","anonymous","AS14061","SG","DigitalOcean, LLC","162","DigitalOcean, LLC","3128","https","1249","5061","2023-01-18T05:05:46.806Z","100","778","781"
"163.172.57.246","anonymous","AS12876","FR","Online S.A.S.","1","ONLINE","3128","https","1289","726","2023-01-18T05:05:12.990Z","100","859","859"
"113.252.185.184","elite","AS9304","HK","HGC Global Communications Limited","213","HGC Global Communications Limited","3128","https","1260","394","2023-01-18T05:05:08.438Z","97","794","816"
"165.22.3.209","anonymous","AS14061","US","DigitalOcean, LLC","84","DigitalOcean, LLC","3128","https","1264","384","2023-01-18T05:05:02.624Z","100","826","827"
"104.168.117.68","anonymous","AS36352","US","ColoCrossing","90","Global Cloud Line","3888","https","1303","401","2023-01-18T05:04:48.783Z","100","795","796"
"178.205.101.67","anonymous","AS28840","RU","Tattelecom","60","N/A","3129","https","1150","142","2023-01-18T05:04:38.665Z","100","849","849"
"188.166.175.116","anonymous","AS14061","GB","DigitalOcean, LLC","13","Digitalocean","5843","https","1334","1787","2023-01-18T05:04:01.440Z","100","854","854"
"212.156.123.218","elite","AS9121","TR","Turk Telekomunikasyon A.S","55","TurkTelekom","8080","https","1267","1169","2023-01-18T05:03:58.241Z","100","799","801"
"198.24.187.93","elite","AS19437","US","Secured Servers LLC","83","Secured Servers LLC","8001","https","1332","332","2023-01-18T05:03:34.007Z","100","837","837"
"91.143.88.93","anonymous","AS35366","DE","ISPpro Internet KG","24","N/A","3128","https","1282","3021","2023-01-18T05:03:20.730Z","87","676","775"
"176.214.97.13","anonymous","AS21353","RU","Enforta-MSK","68","N/A","8081","https","1303","135","2023-01-18T05:03:18.823Z","100","859","859"
"134.73.184.238","anonymous","AS46573","US","LayerHost","136","ELIDC","25283","https","1326","788","2023-01-18T05:03:18.822Z","100","847","848"
"103.245.164.78","anonymous","AS56309","TH","Siamdata Communication Co.","173","Siamdata (Lao) Co., Ltd","3128","https","1165","331","2023-01-18T05:02:46.519Z","98","784","799"
"31.186.239.244","elite","AS55256","NL","NetSkope Inc","9","InterNAP Network Services","8080","https","1119","504","2023-01-18T05:02:43.244Z","98","844","858"
"178.128.211.134","elite","AS14061","SG","DigitalOcean, LLC","161","Digitalocean","6868","https","1161","1086","2023-01-18T05:02:37.180Z","100","856","858"
"186.67.192.246","anonymous","AS27651","CL","Entel Chile S.A.","214","Entel Chile S.A","8080","https","1178","945","2023-01-18T05:02:36.099Z","100","853","855"
"79.110.40.129","anonymous","AS57287","CZ","OtavaNet s.r.o.","27","OtavaNet s.r.o","8080","https","1202","454","2023-01-18T05:02:27.551Z","100","858","858"
"110.145.200.50","anonymous","AS1221","AU","Telstra Corporation Limited","338","Telstra Corporation","10000","https","1132","244","2023-01-18T05:02:06.248Z","100","857","858"
"213.32.253.99","elite","AS206206","IQ","Kurdistan Net Company for Computer and Internet Ltd.","77","Exabyt","8080","https","1210","476","2023-01-18T05:02:03.814Z","100","858","860"
"95.216.9.166","elite","AS24940","FI","Hetzner Online GmbH","41","Hetzner Online GmbH","10022","https","1047","5162","2023-01-18T05:01:42.542Z","100","822","824"
"154.64.211.145","anonymous","AS21559","PR","OSNET Wireless","132","OSNet Wireless","999","https","1335","3207","2023-01-18T05:01:32.240Z","98","825","838"
"117.102.114.130","anonymous","AS38482","ID","BIZNET","170","N/A","8080","https","1215","2482","2023-01-18T05:01:29.696Z","99","799","806"
"95.213.135.148","anonymous","AS50340","RU","SELECTEL","47","N/A","3128","https","1047","431","2023-01-18T05:01:17.148Z","100","856","857"